,Date_Time,Water_Level
0,2020-01-01 03:11:00,0.8
1,2020-01-01 08:53:00,1.3
2,2020-01-01 15:15:00,0.5
3,2020-01-01 22:07:00,1.4
4,2020-01-02 04:07:00,0.8
5,2020-01-02 09:44:00,0.8601855268252088
6,2020-01-02 16:01:00,0.6
7,2020-01-02 22:56:00,1.4
8,2020-01-03 05:13:00,0.8
9,2020-01-03 10:49:00,1.2
10,2020-01-03 16:55:00,1.3048417052327603
11,2020-01-03 23:49:00,1.4
12,2020-01-04 06:25:00,1.3045629524999796
13,2020-01-04 12:06:00,0.7160944355540748
14,2020-01-04 17:59:00,0.7
15,2020-01-05 00:43:00,1.4
16,2020-01-05 07:30:00,0.7
17,2020-01-05 13:23:00,1.2
18,2020-01-05 19:05:00,0.8
19,2020-01-06 01:36:00,1.5
20,2020-01-06 08:25:00,0.6
21,2020-01-06 14:30:00,0.8512914397971496
22,2020-01-06 20:06:00,1.09996396729656
23,2020-01-07 02:26:00,0.9531255408249241
24,2020-01-07 09:11:00,0.5
25,2020-01-07 15:25:00,1.3
26,2020-01-07 21:00:00,0.7
27,2020-01-08 03:13:00,1.6
28,2020-01-08 09:53:00,0.4
29,2020-01-08 16:12:00,1.2856752437148247
30,2020-01-08 21:50:00,0.7
31,2020-01-09 03:58:00,1.0538738597301003
32,2020-01-09 10:33:00,0.3
33,2020-01-09 16:56:00,1.5
34,2020-01-09 22:37:00,0.6
35,2020-01-10 04:42:00,1.206227771357634
36,2020-01-10 11:13:00,0.3
37,2020-01-10 17:39:00,1.6
38,2020-01-10 23:22:00,0.6
39,2020-01-11 05:26:00,1.7
40,2020-01-11 11:53:00,0.2
41,2020-01-11 18:22:00,1.6
42,2020-01-12 00:08:00,0.7331677117416144
43,2020-01-12 06:11:00,1.7
44,2020-01-12 12:34:00,0.2
45,2020-01-12 19:06:00,1.259002455677775
46,2020-01-13 00:54:00,0.5
47,2020-01-13 06:56:00,1.2920347483347558
48,2020-01-13 13:16:00,0.2
49,2020-01-13 19:52:00,1.7
50,2020-01-14 01:43:00,0.6
51,2020-01-14 07:44:00,1.6
52,2020-01-14 14:00:00,0.3
53,2020-01-14 20:39:00,1.7
54,2020-01-15 02:35:00,0.9419582752124012
55,2020-01-15 08:35:00,1.5
56,2020-01-15 14:46:00,0.3
57,2020-01-15 21:30:00,1.6
58,2020-01-16 03:33:00,0.6
59,2020-01-16 09:31:00,1.4
60,2020-01-16 15:37:00,0.4
61,2020-01-16 22:26:00,1.6
62,2020-01-17 04:39:00,0.7
63,2020-01-17 10:36:00,1.3
64,2020-01-17 16:35:00,1.3048417052327603
65,2020-01-17 23:26:00,1.6
66,2020-01-18 05:53:00,0.7
67,2020-01-18 11:53:00,1.3
68,2020-01-18 17:42:00,0.6
69,2020-01-19 00:31:00,1.5
70,2020-01-19 07:11:00,0.6
71,2020-01-19 13:17:00,1.3
72,2020-01-19 18:58:00,0.7
73,2020-01-20 01:36:00,1.5
74,2020-01-20 08:19:00,0.6
75,2020-01-20 14:35:00,1.3
76,2020-01-20 20:11:00,0.7
77,2020-01-21 02:36:00,1.5
78,2020-01-21 09:15:00,0.5
79,2020-01-21 15:39:00,1.4
80,2020-01-21 21:13:00,0.7
81,2020-01-22 03:29:00,1.0471954735145537
82,2020-01-22 10:02:00,0.4
83,2020-01-22 16:31:00,1.4
84,2020-01-22 22:05:00,0.7
85,2020-01-23 04:15:00,1.6
86,2020-01-23 10:42:00,0.8084114958643146
87,2020-01-23 17:14:00,1.5
88,2020-01-23 22:50:00,0.7
89,2020-01-24 04:56:00,1.6
90,2020-01-24 11:18:00,0.3
91,2020-01-24 17:53:00,1.5
